difficulty,label_name,category,text,label,style,group_id,dataset_origin,leak_types,source_pattern,source_url,notes
hard,NON_LEAK,realworld_business_strategy_hard_negative,המצגת מסבירה באופן כללי מהי אסטרטגיה עסקית.,0,support_ticket,rw_svm_pair_realworld_business_strategy_04815,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,LEAK,diverse_positive,"לתיעוד פנימי - הועבר דוח עם רשימת לקוחות אסטרטגיים, הצעות מחיר ותנאי התקשרות.",1,memo,div_pos_16,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,LEAK,realworld_legal_contract_positive,טיוטת החוזה עם הספק עדיין מסומנת כחסויה.,1,memo,rw_svm_pair_realworld_legal_contract_03732,real_world_pattern_variation,CONTRACT_LEGAL_LEAK,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
hard,NON_LEAK,diverse_negative,שולח: המסמך נשמר במערכת הפנימית אך אינו מכיל נתונים רגישים.,0,chat,div_neg_108,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,diverse_negative,עדכון: המסמך נשמר במערכת הפנימית אך אינו מכיל נתונים רגישים.,0,chat,div_neg_118,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
hard,NON_LEAK,realworld_compliance_hard_negative,המסמך מתאר עקרונות כלליים לעמידה בדרישות רגולציה.,0,email,rw_svm_pair_realworld_compliance_01353,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
medium,LEAK,realworld_hr_positive,הנספח מפרט תלונה פנימית על עובד במחלקה.,1,policy,rw_svm_pair_realworld_hr_08602,real_world_pattern_variation,EMPLOYMENT_HR_LEAK,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,Safe Hebrew variation of real-world leakage pattern; no real data or real secrets.
medium,NON_LEAK,realworld_salary_hard_negative,הדוח מציג טווחי שכר כלליים לפי תפקיד ללא עובדים מזוהים.,0,report,rw_svm_pair_realworld_salary_00693,real_world_pattern_hard_negative,,verizon_dbir,https://www.verizon.com/business/resources/reports/dbir/,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,NON_LEAK,realworld_product_roadmap_hard_negative,המצגת מסבירה באופן כללי מהי מפת דרכים מוצרית.,0,support_ticket,rw_svm_pair_realworld_product_roadmap_02179,real_world_pattern_hard_negative,,nist_propin,https://csrc.nist.gov/glossary/term/proprietary_information,"Close hard negative based on same real-world topic, without exposed sensitive data."
hard,LEAK,diverse_positive,"נושא: עדכון
במסמך הזה מופיעים פרטים אישיים ופרטי קשר של לקוחות.",1,email,div_pos_63,original_project_19000,,original_synthetic_project_dataset,,Original SVM training dataset from project.
