difficulty,label_name,category,text,label,style,group_id
hard,LEAK,paired_positive_meeting_phone,"מתוך הדוח: הפגישה עם רונית פרץ נקבעה ל16/10/2026 בתל אביב, ובמסמך צורף גם הטלפון 0597698731.",1,report,meeting_phone_pos_157
hard,LEAK,diverse_positive,לתיעוד פנימי: הסיסמה הזמנית לחשבון של עדי שלום היא Welcome2026! ויש להחליף אותה מיד.,1,memo,div_pos_35
hard,NON_LEAK,diverse_negative,לתיעוד פנימי: שם העובד מאיה ביטון מופיע במצגת הפנימית ללא פרטים נוספים.,0,memo,div_neg_57
hard,NON_LEAK,paired_negative_meeting_phone,לתיעוד פנימי: הפגישה עם ליאור מלכה נקבעה ל19/8/2026 בראשון לציון. תודה,0,memo,meeting_phone_neg_110
medium,NON_LEAK,diverse_negative,"סיכום פגישה: בדוח מופיע רק שם החברה אלביט ותאריך יעד 14/8/2026, ללא מידע אישי.",0,meeting_note,div_neg_17
hard,LEAK,paired_hard_positive,תזכורת: הצוות דן בהשקת מוצר אופק ביום 16/10/2026 במסמך מסווג פנימי שלא נועד להפצה.,1,chat,pair_4_pos
medium,NON_LEAK,diverse_negative,בדיקה: לא נמסרו פרטים מזהים נוספים מעבר לשם החברה.,0,chat,div_neg_29
hard,LEAK,paired_positive_hr_salary,"SEC-958730 | המסמך כולל נתוני שכר, מספרי זהות והערות אישיות של עובדים.",1,ticket,hr_salary_pos_1
hard,LEAK,paired_positive_confidentiality,SEC-616941 | הקובץ נשמר במערכת הפנימית והוא מסווג לשימוש פנימי בלבד ואינו נועד להפצה.,1,ticket,confidentiality_pos_28
hard,NON_LEAK,focused_payroll_negative,סיכום פגישה: המסמך כולל רשימת עובדים לפי צוותים ומועדי הדרכה בלבד.,0,meeting_note,payroll_ctx_neg_54
hard,LEAK,paired_hard_positive,לתיעוד פנימי: הצוות דן בהשקת מערכת קשת ביום 9/8/2026 במסמך מסווג פנימי שלא נועד להפצה.,1,memo,pair_4_pos
hard,NON_LEAK,paired_negative_internal_doc,"נושא: סיכום
הצוות דן בהשקת מוצר אופק ביום 24/11/2026.",0,email,internal_doc_neg_169
medium,NON_LEAK,diverse_negative,"נושא: עדכון
במסמך המצורף אין מידע אישי, רק סיכום משימות והחלטות. תודה",0,email,div_neg_54
hard,LEAK,diverse_positive,"לתיעוד פנימי: הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור.",1,memo,div_pos_94
hard,NON_LEAK,paired_negative_email_context,לתיעוד פנימי: בדוח מופיע איש קשר בשם נועה מזרחי.,0,memo,email_context_neg_195
medium,LEAK,diverse_positive,"נושא: טיפול
המסמך כולל נתוני שכר של שירה אברהם עבור חודש מרץ. תודה",1,email,div_pos_34
hard,LEAK,paired_hard_positive,"INC-131611 | הועבר סיכום על שרון סעדה שעובד בסלקום בפתח תקווה, כולל מספר הזהות 511124692. תודה",1,ticket,pair_1_pos
medium,NON_LEAK,diverse_negative,מתוך הדוח - שם העובד ניר ביטון מופיע במצגת הפנימית ללא פרטים נוספים.,0,report,div_neg_183
medium,LEAK,diverse_positive,"לתיעוד פנימי: הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור.",1,memo,div_pos_15
hard,NON_LEAK,diverse_negative,"סיכום פגישה: הלקוח ביקש עדכון על הפרויקט, אבל לא נשלחו פרטי קשר או מזהים.",0,meeting_note,div_neg_50
hard,LEAK,paired_hard_positive,"שולח: הועבר סיכום על יעל לוי שעובד בשופרסל במודיעין, כולל מספר הזהות 624626366.",1,chat,pair_1_pos
