text,label,label_name,category,style,difficulty,group_id
סיכום פגישה: המצגת מתייחסת לתכנון הרבעון בלבד ואינה כוללת נתוני עובדים.,0,NON_LEAK,context_negative,meeting_note,hard,ctx_neg_86
לתיעוד פנימי: לא נמסרו פרטים מזהים נוספים מעבר לשם החברה.,0,NON_LEAK,diverse_negative,memo,hard,div_neg_128
"שולח - הועבר קובץ עם פרטי תשלום, אנשי קשר והסכמים מסחריים.",1,LEAK,context_positive,chat,hard,ctx_pos_24
"נושא: טיפול
בדוח מופיע רק שם החברה סלקום ותאריך יעד 18/11/2026, ללא מידע אישי.",0,NON_LEAK,diverse_negative,email,hard,div_neg_148
"נושא: טיפול
הועבר קובץ עם פרטי תשלום, אנשי קשר והסכמים מסחריים",1,LEAK,context_positive,email,hard,ctx_pos_10
סיכום פגישה: המסמך הפנימי מתאר סטטוס עבודה בלבד ללא פרטים אישיים.,0,NON_LEAK,context_negative,meeting_note,hard,ctx_neg_36
תזכורת: בדשבורד הציבורי מופיע סטטוס כללי של פרויקט מבצע שקמה. תודה,0,NON_LEAK,diverse_negative,chat,hard,div_neg_125
"HR-322586 | במסמך המצורף אין מידע אישי, רק סיכום משימות והחלטות. תודה",0,NON_LEAK,diverse_negative,ticket,medium,div_neg_105
"נושא - טיפול
המסמך נשמר לתיעוד פנימי בלבד וכולל פרטי לקוחות.",1,LEAK,paired_positive,email,hard,pairpos_24
סיכום פגישה - הקובץ כולל הערות הנהלה על כוח אדם.,0,NON_LEAK,paired_negative,meeting_note,hard,pairneg_87
"נושא: טיפול
הצוות עבר לשלב בדיקות אינטגרציה ונדרש לעדכן סטטוס עד סוף היום.",0,NON_LEAK,diverse_negative,email,hard,div_neg_25
"נושא: בקשה
הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור.",1,LEAK,diverse_positive,email,hard,div_pos_31
מתוך הדוח - נא לשמור על סודיות - תוכנית ההשקה של פלטפורמת ארז וקוד השם מיזם תמר מצורפים. תודה,1,LEAK,diverse_positive,report,medium,div_pos_14
לתיעוד פנימי - הקובץ מיועד לשימוש פנימי בלבד כי יש בו פרטים אישיים.,1,LEAK,context_positive,memo,hard,ctx_pos_30
"נושא - טיפול
לא הועברו פרטים אישיים במהלך השיחה",0,NON_LEAK,diverse_negative,email,medium,div_neg_123
לתיעוד פנימי - נשלח סיכום לגבי אביטל שחר שעובד באלביט.,0,NON_LEAK,paired_negative,memo,hard,pairneg_44
"נושא: עדכון
הקובץ מכיל שם משתמש, סיסמה וגישה לסביבת הייצור. תודה",1,LEAK,diverse_positive,email,hard,div_pos_52
